C:\Users\Healthy\AppData\Local\Programs\Python\Python38-32\python.exe "C:/Users/Healthy/Desktop/AI Project 1/actual main.py"
3*3 - Hamming
Puzzle Number     Nodes Expanded     Steps Taken            Puzzle
---------------------------------------------------------------------------
72                          1571              26    [5, 7, 8, 0, 3, 4, 1, 2, 6]             
73                           710              23    [6, 2, 0, 8, 3, 1, 4, 5, 7]             
74                           527              23    [5, 3, 0, 8, 7, 4, 6, 2, 1]             
75                           651              23    [4, 2, 8, 6, 7, 5, 0, 3, 1]             
76                           720              21    [5, 6, 3, 4, 2, 8, 7, 1, 0]             
77                          1087              24    [2, 8, 7, 4, 1, 0, 3, 5, 6]             
78                           657              25    [6, 7, 0, 5, 8, 4, 2, 1, 3]             
79                           172              20    [8, 3, 6, 0, 5, 7, 2, 1, 4]             
80                           167              18    [2, 4, 1, 0, 8, 6, 7, 5, 3]             
81                           376              18    [2, 4, 5, 1, 3, 0, 7, 6, 8]             
82                           327              19    [1, 6, 0, 4, 2, 7, 5, 8, 3]             
83                           887              22    [5, 0, 1, 4, 2, 8, 3, 7, 6]             
84                           480              20    [7, 0, 5, 1, 6, 3, 4, 8, 2]             
85                           332              22    [8, 1, 5, 3, 2, 7, 6, 0, 4]             
86                           528              22    [8, 6, 2, 0, 4, 5, 7, 3, 1]             
87                           791              26    [7, 8, 5, 3, 2, 0, 6, 4, 1]             
88                          2721              26    [6, 8, 1, 0, 5, 3, 7, 4, 2]             
89                           542              23    [8, 4, 6, 3, 7, 5, 2, 1, 0]             
90                          1557              25    [1, 4, 7, 6, 5, 3, 2, 8, 0]             
91                           660              25    [0, 4, 7, 6, 8, 2, 3, 1, 5]             
92                           228              22    [7, 8, 5, 2, 6, 0, 1, 3, 4]             
93                          5868              28    [6, 0, 1, 5, 3, 4, 8, 2, 7]             
94                           362              19    [4, 5, 2, 6, 0, 8, 7, 1, 3]             
95                           611              23    [5, 3, 8, 6, 1, 4, 7, 2, 0]             
96                          1214              27    [2, 7, 8, 6, 5, 1, 3, 4, 0]             
97                            61              16    [1, 6, 5, 7, 4, 0, 3, 8, 2]             
98                           792              24    [6, 0, 4, 1, 5, 2, 8, 3, 7]             
99                           540              23    [5, 7, 2, 3, 6, 1, 0, 8, 4]             
100                          288              21    [0, 4, 5, 7, 6, 1, 3, 2, 8]             
total nodes for Linear Conflict:  80725 , total steps for Linear Conflict:  2168
---------------------------------------------------------------------------

Process finished with exit code 0
